	Учебный план

	Наименование	УП очного специалитета по 24.05.06 "Навигационные системы и инерциальные датчики систем управления летательных аппаратов"  (каф. 305)	
	Учебный график		Угр очного специалитета 24.05.06 "Системы управления летательными аппаратами" 5 лет (практика - в)
			
Наименование	Кафедра	Трудоемкость			Зачетные единицы по семестрам																																																		Экзамены по семестрам																																								Курсовые по семестрам																																								Недельная АЗ по семестрам (часов в неделю)																																																		АЗ/ЛК/ПЗ/ЛР по семестрам (часов)																																																																																																																								СРС по семестрам (часов)																																																		Сумма за период обучения																				
		ЗЕ	Часы	Без экз.	1					2					3					4					5					6					7					8					9					10					1				2				3				4				5				6				7				8				9				10				1				2				3				4				5				6				7				8				9				10				1					2					3					4					5					6					7					8					9					10					1												2												3												4												5												6												7												8												9												10												1					2					3					4					5					6					7					8					9					10					АЗП					СРС					Доля АЗП %										
  Базовая часть		121,0	4 356	3 816	3					5					6					8					19					16					22					21					16					5																																																																																					3					5					7					7					19					16					22					21					16					7																																																																																																																													54					96					54					134					234					272					288					296					216					54					2 118					1 698															
Безопасность жизнедеятельности	614	3,0	108	108																															3																																												Зо																																																																																						3																																																																																												54/38/0/16																																																																														54																				54					54					50										
Материаловедение	903	3,0	108	108						3																																																	Зч																																																																																	3																																																									50/34/0/16																																																																																																																	58																																													50					58					46,3										
Гироскопические приборы	305	5,0	180	144																					5																																														Э																																																																																				5																																																																														90/50/20/20																																																																																												54																														90					54					50										
Основы теории пилотажно-навигационных систем	305	6,0	216	180																										2					4																																								Зч				Э																																																																																	2					4																																																																																34/26/0/8												72/34/18/20																																																																									38					36																				106					74					49,1										
Метрология, стандартизация и сертификация	305	2,0	72	72																																				2																																											Зч																																																																																							2																																																																																																			34/18/0/16																																																																							38															34					38					47,2										
Инженерная и компьютерная графика	904	5,0	180	180	3					2																																													Зч				Зо																																																																												3					2																																													54/0/54/0												34/0/34/0																																																																																																												54					38																																													88					92					48,9										
Моделирование систем	305	5,0	180	180																															3					2																																							Р				Зо																																								КР																																										3					2																																																																																							54/34/0/20												34/18/0/16																																																																		54					38															88					92					48,9										
Испытания измерительно-управляющих комплексов и их элементов	308	2,0	72	72																																				2																																											Зч																																																																																							2																																																																																																			34/18/0/16																																																																							38															34					38					47,2										
Основы прикладной гидро- и аэродинамики	602	2,0	72	72																					2																																														Зч																																																																																				2																																																																														36/16/0/20																																																																																												36																														36					36					50										
Теоретические основы электротехники и электроизмерений	309	10,0	360	288											5					5																																											Э				Э																																								КР																																						6					4																																																											108/68/16/24												68/34/18/16																																																																																														36					76																																			176					112					48,9										
Основы теории управления	301	6,0	216	144																					3					3																																									Э				Э																																								КР																																								3					3																																																																									54/34/8/12												50/30/8/12																																																																																18					22																									104					40					48,1										
Основы конструирования приборов	305	3,0	108	108																					3																																														Зо																																								КП																																												3																																																																														54/34/8/12																																																																																												54																														54					54					50										
Основы автоматизированного проектирования	305	2,0	72	72																																									2																																										Зч																																																																																								2																																																																																																										36/20/0/16																																																																36										36					36					50										
Технология приборостроения	307	5,0	180	180																										3					2																																								Зч				Зо																																								КП																																									3					2																																																																																50/34/0/16												36/16/0/20																																																																									58					36																				86					94					47,8										
Электроника	305	5,0	180	144																2					3																																										Зч				Э																																								КР																																							2					3																																																																		34/18/0/16												54/34/0/20																																																																																							38					18																														88					56					48,9										
Приборы и датчики высотно- скоростных параметров	303	2,0	72	72																										2																																													Зч																																																																																					2																																																																																					34/18/0/16																																																																																					38																									34					38					47,2										
Экономика отрасли	502	2,0	72	72																																				2																																											Зч																																																																																							2																																																																																																			34/18/16/0																																																																							38															34					38					47,2										
Электрооборудование летательных апппаратов	310	4,0	144	144																					2					2																																									Зч				Зо																																																																																2					2																																																																									36/24/0/12												34/18/0/16																																																																																36					38																									70					74					48,6										
Микропроцессорная техника в приборах, системах и комплексах	305	9,0	324	216																															3					3					3																																		Э				Э				Э																																																																														3					3					3																																																																																		54/18/16/20												50/18/16/16												54/18/16/20																																																						18					22					18										158					58					48,8										
Динамика полета воздушных и космических летательных аппаратов	301	3,0	108	108																										3																																													Зо																																																																																					3																																																																																					50/34/0/16																																																																																					58																									50					58					46,3										
Системы автоматического управления воздушными летательными аппаратами	301	7,0	252	180																															4					3																																							Э				Э																																																																																		4					3																																																																																							72/36/0/36												50/34/0/16																																																																		36					22															122					58					48,4										
Системы автоматического управления космическими летательными аппаратами	305	4,0	144	108																																									4																																										Э																																																																																								4																																																																																																										72/48/0/24																																																																36										72					36					50										
  Специальная подготовка		13,0	468	468											1					1					1					1					1					4					4																																																																																																				1					1					1					1					1					4					4																																																																																																																																												18					20					18					20					18					78					72										224					244															
УИРС	305	8,0	288	288											1					1					1					1					1					1					2																		Зч				Зч				Зч				Зч				Зч				Р				Зо																																																										1					1					1					1					1					1					2																																		18/0/18/0												16/0/16/0												18/0/18/0												16/0/16/0												18/0/18/0												16/0/16/0												36/0/36/0																																		18					20					18					20					18					20					36										138					150					47,9										
Испытания приборов и систем	305	5,0	180	180																																				3					2																																						Зо				Зч																																																																																			3					2																																																																																														50/34/0/16												36/16/0/20																																																											58					36										86					94					47,8										
  Специализация		13,0	468	396																															2					3					3					5																																																																																																																			2					3					3					7																																																																																																																																																											36					22					54					54					230					166															
Специальные задачи проектирования навигационных систем и комплексов	305	3,0	108	72																																														3																																									Э																																																																																									4																																																																																																																	52/34/18/0																																																									20					52					20					48,1										
Расчет и проектирование инерциальных датчиков	305	5,0	180	180																																									3					2																																					Зо				Зо																																								КП																																												3					3																																																																																																					54/34/20/0												38/18/20/0																																																				54					34					92					88					51,1										
Инерциальные датчики систем управления	305	5,0	180	144																															2					3																																							Зо				Э																																																																																		2					3																																																																																							36/18/18/0												50/34/16/0																																																																		36					22															86					58					47,8										
  Вариативная часть		41,0	1 476	1 152	3					6					4										6					4					3					4					11																																																																																										3					6					4										6					4					3					4					11																																																																																																																																		54					78					36										108					4					18					40					90										724					428															
Алгоритмические языки и программирование	305	2,0	72	72						2																																																	Зч																																																																																	2																																																									34/18/0/16																																																																																																																	38																																													34					38					47,2										
Математические методы оптимизации в измерительных приборах и системах	305	4,0	144	108											4																																																Э																																								КР																																										4																																																																72/34/18/20																																																																																																										36																																								72					36					50										
Аналитическая механика и теория колебаний	305	2,0	72	72																					2																																														Зо																																																																																				2																																																																														36/24/12/0																																																																																												36																														36					36					50										
Спутниковые навигационные технологии	305	2,0	72	72																																									2																																										Зо																																																																																								2																																																																																																										36/20/0/16																																																																36										36					36					50										
Цифровые информационно-измерительные  системы	305	3,0	108	72																																									3																																										Э																																																																																								3																																																																																																										54/34/20/0																																																																18										54					18					50										
Прикладная микромеханика	305	3,0	108	72																																									3																																										Э																																								КР																																																3																																																																																																										54/34/20/0																																																																18										54					18					50										
Автономные навигационные системы	305	4,0	144	108																																				4																																											Э																																								КР																																															4																																																																																																			68/34/14/20																																																																							40															68					40					47,2										
Метрологическое обеспечение измерений в системах ориентации и навигации	305	2,0	72	36																										2																																													Э																																																																																					2																																																																																					34/18/0/16																																																																																					2																									34					2					47,2										
Введение в специальность	305	3,0	108	108	3																																																		Зч																																																																																3																																																		54/34/0/20																																																																																																																								54																																																		54					54					50										
  Элективные дисципилины		16,0	576	432						4															4					2					3										3																																																																																															4															4					2					3										3																																																																																																																																							40															72					2					18										18										282					150															
Системы компьютерных вычислений	305	4,0	144	108						4																																																	Э																																								КР																																									4																																																									68/32/0/36																																																																																																																	40																																													68					40					47,2										
